Reference, Quantity, Value, Footprint, Datasheet
BZ1 ,1,"CMI-1295IC-0585T","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
C4 C1 C2 ,3,"1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
D1 D2 D3 D4 D11 D8 ,6,"1N3595","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
D5 D6 ,2,"RED,10mA","LED_THT:LED_D5.0mm","~"
D7 D9 D10 ,3,"GREEN,10mA","LED_THT:LED_D5.0mm","~"
J1 J2 ,2,"Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
J4 ,1,"DB15_Male","Connector_Dsub:DSUB-15_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~"
Q1 ,1,"BS107","Package_TO_SOT_THT:TO-92_Inline_Wide","http://www.onsemi.com/pub_link/Collateral/BS107-D.PDF"
R1 ,1,"500","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R12 ,1,"4K7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R16 R4 ,2,"100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R3 ,1,"1K2_1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R5 R2 R15 R7 R6 R9 R10 ,7,"10K_1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R8 ,1,"300","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
RV1 RV2 RV3 ,3,"1K, 3362P","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
SW1 ,1,"ANT11SF1CQE","_batmon:SW_CIT_ANT_SPDT","~"
TP1 TP2 TP3 ,3,"TestPoint","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded","~"
U1 ,1,"TL431LP","Package_TO_SOT_THT:TO-92_Inline_Wide","http://www.ti.com/lit/ds/symlink/tl431.pdf"
U2 ,1,"AD623AN","Package_DIP:DIP-8_W7.62mm_LongPads","https://www.analog.com/media/en/technical-documentation/data-sheets/AD623.pdf"